code,name,name_normalized,sector_slug
24211167,"Técnicos Medios en Ciencias Biológicas, en General","tecnicos medios en ciencias biologicas, en general",tech
24211176,Técnicos Medios en Farmacología,tecnicos medios en farmacologia,tech
24211185,Técnicos Medios en Oceanografía,tecnicos medios en oceanografia,tech
24211194,Técnicos Superiores en Cultivos Marinos,tecnicos superiores en cultivos marinos,tech
24211206,Zoólogos,zoologos,tech
24211215,Biotecnólogos,biotecnologos,tech
24221012,Edafólogos,edafologos,tech
24221021,Ingenieros en Agronomía,ingenieros en agronomia,tech
24231015,Ingenieros de Montes,ingenieros de montes,tech
24241018,Ingenieros Técnicos Agrícolas,ingenieros tecnicos agricolas,tech
24251011,Ingenieros Técnicos Forestales,ingenieros tecnicos forestales,tech
24261014,Profesionales de la Protección Ambiental,profesionales de la proteccion ambiental,tech
24271017,Enólogos,enologos,tech
24311018,Ingenieros de Calidad,ingenieros de calidad,tech
24311027,Ingenieros de Fabricación o Planta,ingenieros de fabricacion o planta,tech
24311036,Ingenieros de Instalaciones,ingenieros de instalaciones,tech
24311045,Ingenieros de Logística,ingenieros de logistica,tech
24311054,Ingenieros de Mantenimiento y Reparación,ingenieros de mantenimiento y reparacion,tech
24311063,Ingenieros de Montaje,ingenieros de montaje,tech
24311072,Ingenieros de Organización Industrial,ingenieros de organizacion industrial,tech
24311081,Ingenieros de Planificación y Producción,ingenieros de planificacion y produccion,tech
24311090,Ingenieros de Procesos,ingenieros de procesos,tech
24311102,Ingenieros de Producto,ingenieros de producto,tech
24311111,Ingenieros de Proyectos,ingenieros de proyectos,tech
24321011,Ingenieros en Construcción y Obra Civil,ingenieros en construccion y obra civil,tech
24331014,Ingenieros en Mecánica (Técnicas Energéticas),ingenieros en mecanica (tecnicas energeticas),tech
24331023,Ingenieros en Mecánica de Automoción,ingenieros en mecanica de automocion,tech
24331032,Ingenieros en Mecánica Industrial,ingenieros en mecanica industrial,tech
24331041,"Ingenieros en Mecánica, en General","ingenieros en mecanica, en general",tech
24341017,Ingenieros en Mecánica Aeronáutica,ingenieros en mecanica aeronautica,tech
24341026,Ingenieros y/o Similares en Mecánica Naval,ingenieros y/o similares en mecanica naval,tech
24351010,Ingenieros en Química,ingenieros en quimica,tech
24361013,"Ingenieros de Minas, en General","ingenieros de minas, en general",tech
24361022,Ingenieros en Metalurgia,ingenieros en metalurgia,tech
24371016,Ingenieros Ambientales,ingenieros ambientales,tech
24391012,Ingenieros de Diseño,ingenieros de diseno,tech
24391021,Ingenieros de Investigación y Desarrollo,ingenieros de investigacion y desarrollo,tech
24391030,Ingenieros de Materiales,ingenieros de materiales,tech
24391049,Ingenieros de Seguridad,ingenieros de seguridad,tech
24391058,Ingenieros de Servicios,ingenieros de servicios,tech
24391067,Ingenieros en Papelera y Gráfica,ingenieros en papelera y grafica,tech
24391076,Ingenieros Textil,ingenieros textil,tech
24411017,Ingenieros en Electricidad Aeronáutica,ingenieros en electricidad aeronautica,tech
24411026,Ingenieros en Electricidad de Automoción,ingenieros en electricidad de automocion,tech
24411035,Ingenieros en Electricidad Industrial,ingenieros en electricidad industrial,tech
24411044,"Ingenieros en Electricidad, en General","ingenieros en electricidad, en general",tech
24411053,Ingenieros y/o Similares en Electricidad Naval,ingenieros y/o similares en electricidad naval,tech
